unknown	Bacteroides_uniformis	[Ruminococcus]_obeum	Haemophilus_parainfluenzae	Eubacterium_rectale	Bacteroides_finegoldii	Ruminococcus_bromii	Pseudoflavonifractor_capillosus	Bacteroides_coprophilus	unclassified_Fusobacterium	Fusobacterium_periodonticum	Streptococcus_sanguinis	Enterococcus_faecalis	[Clostridium]_bartlettii	Dorea_formicigenerans	Faecalibacterium_prausnitzii	Klebsiella_variicola/pneumoniae	Clostridium_bolteae	Eggerthella_lenta	Streptococcus_anginosus	Streptococcus_sp._C150	Acidaminococcus_fermentans	Streptococcus_salivarius	Actinomyces_odontolyticus	Methanobrevibacter_smithii	Mitsuokella_multacida	Bacteroides_caccae	Desulfovibrio_piger	Streptococcus_gordonii	butyrate-producing_bacterium	[Ruminococcus]_torques	Citrobacter_sp._30_2	Prevotella_copri	Alistipes_sp._HGB5	Butyrivibrio_crossotus	Clostridium_leptum	Capnocytophaga_sp._oral_taxon_329	Escherichia_coli	Dialister_invisus	Rothia_mucilaginosa	Odoribacter_splanchnicus	Bifidobacterium_dentium	Holdemania_filiformis	Collinsella_aerofaciens	Coprococcus_catus	Alistipes_shahii	Streptococcus_parasanguinis	Bacteroides_fragilis	Bacteroides_coprocola	Megasphaera_micronuciformis	Eubacterium_biforme	[Ruminococcus]_gnavus	Streptococcus_thermophilus	Streptococcus_pneumoniae	Dorea_longicatena	Bifidobacterium_longum	Veillonella_atypica	Haemophilus_influenzae	Bacteroides_thetaiotaomicron	Klebsiella_oxytoca	Roseburia_hominis	Bacteroides_dorei/vulgatus	Streptococcus_oralis	Ruminococcus_lactaris	Megasphaera_elsdenii	Bacteroides_ovatus	Veillonella_parvula	Bilophila_wadsworthia	Ruminococcus_sp._SR1/5	Parabacteroides_distasonis	[Bacteroides]_pectinophilus	Eubacterium_ventriosum	Granulicatella_adiacens	Coprococcus_comes	Akkermansia_muciniphila	Enterococcus_casseliflavus	Bacteroides_eggerthii	Bacteroides_xylanisolvens	Streptococcus_vestibularis	Haemophilus_pittmaniae	Bacteroides_plebeius	Veillonella_sp._oral_taxon_158	Enterobacter_hormaechei/cloacae	Phascolarctobacterium_succinatutens	Bacteroides_stercoris	Eubacterium_eligens	Coprococcus_eutactus	Gemella_sanguinis	Eubacterium_siraeum	Veillonella_dispar	Bacteroides_clarus	Streptococcus_infantis	Roseburia_intestinalis	Parasutterella_excrementihominis	Anaerotruncus_colihominis	butyrate-producing_bacterium_SS3/4	Ruminococcaceae_bacterium_D16	Parabacteroides_merdae	Eubacterium_hallii	Streptococcus_australis	Bifidobacterium_adolescentis	Alistipes_putredinis	Clostridium_perfringens	Sutterella_wadsworthensis	Roseburia_inulinivorans	Ruminococcus_sp._5_1_39BFAA
9462	0.382907912	0.028242713	0.000915491	0.000163294	0.000724172	0	0.040421111	0.000236658	0	7.1e-05	0	0.00156549	0.000276889	0.001576139	0.001682635	0.004543825	0.001600666	0	0.002030522	0.001486505	0.087752622	0	0.020993892	0.000621226	0	0	7.1e-05	0.000106496	0.008475299	0.011707449	0.001872086	9.13e-05	0	0.003003184	0	0.00026624	0.000880366	0.040141855	0.000124245	0.000612351	0	0.011991438	0.000118329	0.00572238	0	0.005561453	0.021329607	0	0	0	0	0.000454383	0.005395792	0.000471164	0.051217428	0.008107888	0.00181043	0	0.000816469	0.00571528	0.000141995	0.012927419	0.002169854	0.019360955	0	0	0.003678949	8.52e-05	0.001364725	0.000694195	0	0.00105076	0.00038161	0.05124425	0	0.009608297	0	0.00272452	0.015507832	0	0	0	0.00016566	0	0	0.00026979	0	0	0.011473158	0.000650808	0	0.003094646	0.01194884	0	0	0.000106496	0.000141995	0.000369186	0.001767832	0.00242574	0	0.00727012	0.000212992	0.00025559	0.022917918	0.052111994
9454	0.163124031	0.001714804	0.000285415	0	0.000458207	0	0.000833103	0.000128933	0.000138851	0	0	0	0	0	0.000298529	0.003815997	6.94e-05	8.68e-05	0	0	0	0.000338448	0.000138851	0	0	0.009032229	0.003214391	0.003429609	0	0.000121494	0.00065954	0	0.704201462	6.94e-05	0	0.000138851	0.010580413	6.94e-05	0	0	0.001492644	0	9.92e-05	0.000863959	0.000146564	0.000455121	9.26e-05	0.000798391	0.007810344	0	0.000555402	0	0	0	0.000826161	9.92e-05	0	0	0.001416276	0	0	0.013551815	0	0.000388782	9.26e-05	0.001190148	0	0.002145241	0.000262273	0.003039285	0	0.000347126	0	0.000771392	0	0	0	0.001674885	0	0	0.000647969	0	0	0.029783446	0.002770069	8.93e-05	0	0	0.000200562	0	0	0	0.000610942	0.00023431	0	0.000242988	0.000104138	0.004783402	0.000239132	0	0.000485977	0.013885056	0	0.000652598	0.002591877	0.001610667
9455	0.217503431	0.008987556	0.000568262	0.00010164	0.000792795	0	0	0.000228691	0	0.000838534	0	7.62e-05	0	0	0.002485109	0.002810993	0.009444938	0.00075468	0	0.000139756	0.000381152	0.000190576	0.006981428	0.000114345	0	0.001626247	0.043207351	0.003422742	0.000316649	0.001265423	0.005059287	0.000228691	0.399584147	0.005244647	0	0	0.001143455	0.000824674	0	0	0.001738052	0.000899518	0	0.005732521	0.000701319	0.012315433	0.000846558	0.000518366	0.000922387	0.000121969	0.00432226	7.62e-05	0.000409738	0.000396398	0.006273756	9.15e-05	0.000651423	0	0.010207241	0.001379769	0.004810134	0.114969199	7.62e-05	0.002264041	0	0.013993711	0.00178506	0.00160846	0.00222762	0.00682685	0	0.000119791	9.53e-05	0.000897824	0.005358992	0	0	0.005926908	0.000775008	0.000139756	7.62e-05	0.000228691	0.000161989	0.024114195	0.008270991	0.001844774	0	7.62e-05	0.000221068	0.000584433	0	0.000114345	0.002550251	7.62e-05	0.00010164	0.001021486	0.000152461	0.003064459	0.000304921	0.000177871	0.00010164	0.01040544	0.000220221	0.000899518	0.015093605	0.00633474
9469	0.599128271	0.005750228	0.000895793	0.000323277	0.005523421	0	0.010695513	8.34e-05	6.67e-05	0	0	0.000150093	0	6.67e-05	0.00175442	0.007467688	0.001474246	0.000573689	0	0	6.67e-05	0.000244596	0.00144534	6.67e-05	0	0.010933438	0.014328874	0.007251158	0	0.000473627	0.001695787	0	0.133996321	0	0	0.001847811	0.001881165	0.01278792	0	8.89e-05	0.0015076	0.001307476	0.000123886	0.01136704	0.000493639	0.002327367	0.00067661	0.000100062	0.002735027	0	0.000627055	0	0.000258493	0	0.008078337	0.000551857	0.000104827	0.000300186	0.005783582	0	0.002648307	0.011500456	0	0.00308858	0.000100062	0.005003099	0.000700434	0.002481537	0.00151946	0.005373698	0	0.0015076	6.67e-05	0.002712791	0.016290089	0	0	0.002351456	0.000433602	0.003024095	0	0.000213466	0	0.023814749	0.010319725	0.010733314	0.000400248	0	0.000122298	0.000144534	0	0.000138547	0.001607662	0.000378012	0.000142946	0.001374184	0	0.004389385	0.0031753	0.000189006	0.003642256	0.01730405	0	0.001907848	0.003315387	0.000480297
9456	0.743948773	0.044381535	0.001111782	0	0.001687923	0	0	0.000237445	0	5.16e-05	0	0	0	0.000114708	0.002988708	0.000580028	5.16e-05	0.000325196	0.001801484	0	5.16e-05	0	9.29e-05	0	6.88e-05	0	0.00131627	0	0	0.013580812	0.004965694	0	0.011397352	0.001450478	0	0.000412948	0	0.00056311	0	0	0.001269814	0	0.000320034	0.000665878	0.0007846	0.004674337	0.00016776	0	0	0	0.00621486	0	8.6e-05	0	0.006245831	0.001089149	0	0	0	0	0.000831057	0.056129892	0	0.003045488	0	0	0	0.004552746	0.00442198	0.005586262	0	8.6e-05	0	0.00472022	0	5.16e-05	0.004325625	0.003684266	0	0	0.008379393	0	0.00044736	0.013311822	0	0.011263144	0	0	0	5.16e-05	0	5.16e-05	0.00082016	7.74e-05	0.000149693	0.000536832	0.000123884	0	0.003432626	0	0	0.010870844	0	0	0.001083987	0.00926551
9461	0.653425351	0.035254717	0.000301591	7.87e-05	0.001620726	0	0	7.87e-05	0	0	0	7.87e-05	0.000192319	0.000144239	0.002564838	0.002309847	0.005094271	0.000149484	0.000137683	7.87e-05	0.001986569	0	0.0039338	0	0.001652196	0	0.005019529	0	8.85e-05	0.000168591	0.005883217	0	0.027568072	0.002879542	0.000118014	0.000283234	0	0.024031943	0.00039338	0	0.002997556	0.000511394	0.000118014	0.002895277	0.001463374	0.004388373	0.000970337	0.000137683	0	7.87e-05	0.003760713	0	0.001054258	0.000118014	0.002934615	7.87e-05	0.000500665	0	0.000479924	0	0.002596308	0.081658539	0	0	0	0	0.000421989	0.001707269	0.000769276	0.007168258	0	0.000131127	0	0.003112073	0.000603183	0	0.005822024	0.001140802	0.000764281	0	0	0.000104901	0.000236028	0.017859453	0	0.011400153	0.013689625	0	7.87e-05	0.000251763	0	0.000236028	0.000174836	0.000306836	0.000186856	0.000253512	7.87e-05	0	0.000928377	0.00019669	0.000550732	0.043334743	0.000174836	0	0.002462559	0.003595493
9463	0.60551892	0.033518659	0.00259797	0.000288548	0.00774957	0	0.00825731	0.000235549	0	0	0	0	7.85e-05	0	0.00227305	0.011150841	0.000206106	8.83e-05	0	0	0.000451469	0	0.001305335	0.000117775	0.000157033	0	0.000143947	0	9.81e-05	0.004163333	0.006189057	0	0.122944932	0.000127589	0	5.89e-05	0	0.006739921	0	0	0.003963116	0.00014133	7.85e-05	0.002903145	0.001619401	0.011581172	0.000492794	0	0	0	0.003916006	0	0.002276976	0.000117775	0.008438552	6.87e-05	0.001236634	0.000117775	0.000272354	0.00051232	0.009021536	0.010133525	0.000117775	8.24e-05	0	0.000191384	0.000407304	0.001501626	0.00437729	0.002767704	0	7.36e-05	7.36e-05	0.003415464	0	0	0.000900976	0.000471099	9.81e-05	0	0	0.000127589	0.000553541	0.01994317	0	0.043158512	0.011365251	5.89e-05	0	0.000683093	0	0.000137404	0.003009796	0.000223772	0.000117775	0.001990391	8.83e-05	0	0.010576161	8.24e-05	0.000317991	0.008544549	0	0	0.007502244	0.005688514
9464	0.343395754	0.00020013	0.001260821	0	0.022514661	0	0	0.000700456	0	0	0	0	0	0	0.00086056	0.029919483	0	0.000667101	0.000600391	0	0	0	0.000300195	0	0	0	0.00020013	0	0	0.018592107	0.006024976	0	0	0	0	0.000640417	0	0.000400261	0.078210929	0	0.007825095	0	0.000422497	0	0	0.012919524	0.000400261	0.022634739	0	0	0	0.001356439	0	0	0.001601043	0.001420925	0	0	0.011667598	0	0	0.273995084	0	0	0	0.060014079	0.000350228	0	0.010073226	0	0	0.000689338	0	0.003402215	0	0	0	0.040626455	0	0	0	0.000500326	0	0	0	0	0	0	0.00020013	0.00020013	0	0	0.00020013	0	0.000343081	0.004703062	0.00020013	0.025176394	0.002781811	0	0.000300195	0	0	0	0.005183375	0.006324118
9465	0.31049761	0	0.00057548	0.000540166	0.008194048	0	0	0.000228884	0	9.16e-05	0.000164796	0.000324599	0	0.000320438	0.003707921	0.005538993	0	0.000122071	0.0010254	0.000587469	0.00601965	0	0.064201965	0.000796516	0	0	0	0	0.000753557	0.001602188	0.018450461	0	0	0	0	0.000585943	0	0.11273578	0.000704963	0.00189516	0.008551107	0	0.00240786	0.001892108	0	0.033874834	0.027073709	0.007956008	0	0.000198366	0.003456149	0.000988779	0.004074135	0.002082845	0.008168616	0	0.006774967	0	0.012780883	0	0.02959928	0.1046534	0.00038656	0	0	0.012294341	0.006000282	0	0.003387483	0	0	0.002673365	0.001393649	0.02051818	0	0	0	0.006195127	0.002485026	0	0	0.004337352	0	0	0	0.002874783	0	0.003561435	0.008615194	0.003448519	0	0.000811354	0.035756769	0	0.001052866	0.000668341	0.000183107	0.010327247	0.002444481	0.001629654	9.16e-05	0	0.000130791	0	0.06298888	0.01154491
9466	0.416398035	0	0.000188535	0.002108108	0.001378659	0	0	0.000485084	0	0.000234883	0.008782568	0.000102123	0.000102123	0.000351757	0.000694436	0.001075938	0.003582811	0.000653586	0.000187225	0.000136164	0.000245095	0	0.004842327	0.000306369	0	0	0	0	0.000320958	0.000449341	0.002433929	0	0	0	0	0.000170205	0	0.050328015	0.000204246	0.000136164	0.007822613	0	0.000268073	0.002971776	0.001286748	0.016487173	0.00291319	0.012285383	0	0.005024446	0.002314785	0	0.000725072	0.000347218	0.002042458	0.000674011	0.050467273	0.000469765	0.022242364	0	0.01834127	0.178902275	0	0	0	0.012165389	0.011893388	0.001399084	0.002745971	0.019891269	0	0.00016595	0.000625503	0.007318807	0	0	0	0.006569906	0.000629758	0.00035743	0	0.004416815	0	0	0	0.018913158	0	0.001011017	0.000163397	0.010547835	0	0.000255307	0.028780086	0	0.001521631	0.007914524	0.000233424	0.010692266	0.002491798	0.00043767	0.000280838	0	0	0.017248555	0.00762858	0.002216067
